#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#
#wave    flux         stdev           det
 50.2872  1.22800e-17  2.61191e-19      1
 50.2872  1.11364e-17  2.54049e-19      1
 50.3450  1.19032e-17  1.42689e-19      0
 50.3450  1.12892e-17  1.18132e-19      0
 50.3619  1.25053e-17  2.77584e-19      1
 50.3619  1.16194e-17  2.64352e-19      1
 50.4125  1.13825e-17  1.22064e-19      0
 50.4125  1.20442e-17  1.36099e-19      0
 50.4363  1.14989e-17  3.22189e-19      1
 50.4364  1.26131e-17  3.21728e-19      1
 50.4801  1.21284e-17  1.21944e-19      0
 50.4801  1.14850e-17  1.31921e-19      0
 50.5107  1.17643e-17  1.93278e-19      1
 50.5108  1.24268e-17  2.85503e-19      1
 50.5850  1.16080e-17  2.36462e-19      1
 50.5850  1.20782e-17  3.23678e-19      1
 50.6592  1.18498e-17  3.02719e-19      1
 50.6592  1.14974e-17  2.75285e-19      1
 50.7333  1.21889e-17  3.02602e-19      1
 50.7333  1.13728e-17  2.72245e-19      1
 50.8073  1.21975e-17  3.01304e-19      1
 50.8073  1.08594e-17  1.88575e-19      1
 50.8811  1.12491e-17  2.07043e-19      1
 50.8812  1.22560e-17  2.82853e-19      1
 50.9549  1.17563e-17  2.52600e-19      1
 50.9549  1.23113e-17  2.66833e-19      1
 51.0286  1.15017e-17  2.61414e-19      1
 51.0286  1.21758e-17  2.22297e-19      1
 51.1021  1.10186e-17  2.69307e-19      1
 51.1022  1.21894e-17  2.53958e-19      1
 51.1683  1.14870e-17  2.60659e-19      1
 51.1756  1.22653e-17  2.21439e-19      1
 51.2417  1.10748e-17  2.02169e-19      1
 51.2417  1.19411e-17  1.89282e-19      1
 51.3150  1.16632e-17  1.86544e-19      1
 51.3150  1.23334e-17  2.06044e-19      1
 51.3881  1.17780e-17  1.87731e-19      1
 51.3882  1.22740e-17  2.40972e-19      1
 51.4613  1.14076e-17  2.05807e-19      1
 51.4613  1.19140e-17  2.46097e-19      1
 51.5342  1.21574e-17  2.46293e-19      1
 51.5342  1.19082e-17  2.03034e-19      1
 51.6071  1.23371e-17  2.45843e-19      1
 51.6071  1.17095e-17  2.98930e-19      1
 51.6800  1.16944e-17  2.79927e-19      1
 51.6800  1.25049e-17  2.56467e-19      1
 51.7527  1.16608e-17  3.32693e-19      1
 51.7527  1.21284e-17  1.79196e-19      1
 51.8253  1.20723e-17  1.82130e-19      1
 51.8253  1.22065e-17  2.37630e-19      1
 51.8978  1.17623e-17  2.20401e-19      1
 51.8979  1.19436e-17  2.74489e-19      1
 51.9703  1.16106e-17  2.61456e-19      1
 51.9703  1.22415e-17  1.87190e-19      1
 52.0427  1.19109e-17  2.41741e-19      1
 52.0427  1.19078e-17  2.21767e-19      1
 52.1149  1.18393e-17  2.51817e-19      1
 52.1149  1.21157e-17  2.29938e-19      1
 52.1871  1.23216e-17  2.05741e-19      1
 52.1871  1.21965e-17  2.29458e-19      1
 52.2521  1.20025e-17  2.06378e-19      1
 52.2592  1.25684e-17  3.14197e-19      1
 52.3240  1.17249e-17  2.30238e-19      1
 52.3241  1.22602e-17  2.08096e-19      1
 52.3960  1.26089e-17  2.39097e-19      1
 52.3960  1.21535e-17  1.70778e-19      1
 52.4678  1.23587e-17  2.03208e-19      1
 52.4678  1.17710e-17  2.15088e-19      1
 52.5396  1.21422e-17  1.66460e-19      1
 52.5396  1.20419e-17  1.73135e-19      1
 52.6113  1.20258e-17  2.09855e-19      1
 52.6113  1.21503e-17  1.43192e-19      1
 52.6829  1.17064e-17  1.97230e-19      1
 52.6829  1.20606e-17  2.16574e-19      1
 52.7544  1.21864e-17  2.41153e-19      1
 52.7544  1.18998e-17  1.84479e-19      1
 52.8259  1.24262e-17  2.07314e-19      1
 52.8259  1.19079e-17  2.20945e-19      1
 52.8972  1.18702e-17  1.70434e-19      1
 52.8973  1.22476e-17  1.74817e-19      1
 52.9686  1.22794e-17  1.40755e-19      1
 52.9686  1.20470e-17  1.97263e-19      1
 53.0398  1.21038e-17  2.37965e-19      1
 53.0398  1.20614e-17  2.22116e-19      1
 53.1109  1.21703e-17  1.93666e-19      1
 53.1109  1.23255e-17  1.48090e-19      1
 53.1820  1.21760e-17  1.71386e-19      1
 53.1820  1.16169e-17  1.84587e-19      1
 53.2530  1.24582e-17  1.87461e-19      1
 53.2530  1.17480e-17  2.05320e-19      1
 53.3239  1.16930e-17  1.19304e-19      1
 53.3239  1.21707e-17  1.76230e-19      1
 53.3947  1.21514e-17  1.78669e-19      1
 53.3947  1.21527e-17  1.86994e-19      1
 53.4584  1.20864e-17  1.76541e-19      1
 53.4584  1.13835e-17  2.13944e-19      1
 53.5291  1.19598e-17  1.98851e-19      1
 53.5291  1.22346e-17  1.97308e-19      1
 53.5998  1.23241e-17  1.66564e-19      1
