#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#line = LWS line number (0-9)
#
#wave    flux         stdev           det   line
155.8258  2.06380e-19  7.40099e-21      8      3
155.9587  1.97987e-19  6.44866e-21      8      3
156.0915  1.98641e-19  5.69831e-21      8      3
156.2242  2.06113e-19  4.63696e-21      8      3
156.3566  2.07225e-19  4.51361e-21      8      3
156.4890  1.98137e-19  3.80726e-21      8      3
156.6212  2.01978e-19  4.84286e-21      8      3
156.7533  1.90669e-19  4.30802e-21      8      3
156.8851  2.10519e-19  5.69608e-21      8      3
157.0169  1.96062e-19  4.65470e-21      8      3
157.1485  1.98303e-19  5.39155e-21      8      3
157.2800  1.99848e-19  4.95052e-21      8      3
157.4113  2.04108e-19  5.00719e-21      8      3
157.5426  2.06971e-19  5.64481e-21      8      3
157.6736  2.07018e-19  5.27371e-21      8      3
157.8046  2.06582e-19  4.93356e-21      8      3
157.9223  2.05952e-19  5.69442e-21      8      3
158.0530  1.96549e-19  5.53811e-21      8      3
158.1835  2.07430e-19  5.94776e-21      8      3
158.3139  1.85222e-19  7.39102e-21      8      3
173.4833  5.00129e-20  1.69682e-20      9      3
173.6098  7.87923e-20  1.49981e-20      9      3
173.7362  9.02074e-20  1.29055e-20      9      3
173.8624  8.21966e-20  1.12046e-20      9      3
173.9884  1.02827e-19  1.25242e-20      9      3
174.1142  8.53895e-20  1.50848e-20      9      3
174.2400  9.64656e-20  1.26489e-20      9      3
174.3655  1.09940e-19  1.39842e-20      9      3
174.4910  8.29522e-20  1.26762e-20      9      3
174.6162  7.98649e-20  1.23302e-20      9      3
174.7413  5.87303e-20  1.43948e-20      9      3
174.8663  7.86410e-20  1.15316e-20      9      3
174.9911  8.71531e-20  1.23329e-20      9      3
175.1158  6.46057e-20  1.33845e-20      9      3
175.2403  7.87253e-20  1.87066e-20      9      3
175.3647  9.31673e-20  1.39060e-20      9      3
175.4766  9.79577e-20  1.30010e-20      9      3
175.6007  7.17691e-20  1.26622e-20      9      3
175.7247  8.26145e-20  1.49365e-20      9      3
175.8486  8.32402e-20  2.22410e-20      9      3
 45.5195  3.54946e-18  7.98392e-19      0      0
 45.5874  2.75187e-18  1.98695e-19      0      0
 45.6554  2.63560e-18  2.43844e-19      0      0
 45.7233  3.52718e-18  4.74362e-19      0      0
 45.7844  3.50899e-18  4.55922e-19      0      0
 45.8522  3.32282e-18  3.86416e-19      0      0
 45.9200  3.27203e-18  3.81472e-19      0      0
 45.9877  3.03739e-18  2.94320e-19      0      0
 46.0554  3.20821e-18  2.68176e-19      0      0
 46.1231  3.23601e-18  2.83027e-19      0      0
 46.1908  2.85983e-18  2.35632e-19      0      0
 46.2584  2.99719e-18  2.30346e-19      0      0
 46.3260  2.89917e-18  1.54619e-19      0      0
 46.3935  2.35107e-18  9.64609e-20      0      0
 46.4610  3.03175e-18  2.54036e-19      0      0
 46.5285  3.15529e-18  2.40080e-19      0      0
 46.5960  2.92730e-18  2.63638e-19      0      0
 46.6634  2.95280e-18  2.33405e-19      0      0
 46.7308  2.76974e-18  2.44498e-19      0      0
 46.7982  2.78643e-18  3.78393e-19      0      0
 55.4971  1.12152e-18  4.50267e-19      1      0
 55.5656  1.21182e-18  2.41074e-19      1      0
 55.6340  1.19723e-18  3.43306e-19      1      0
 55.7023  1.48837e-18  3.07491e-19      1      0
 55.7638  8.07726e-19  2.31740e-19      1      0
 55.8321  1.52694e-18  8.01266e-20      1      0
 55.9003  1.47307e-18  4.17755e-19      1      0
 55.9685  1.76660e-18  3.50524e-19      1      0
 56.0366  1.27197e-18  3.02434e-19      1      0
 56.1047  1.22884e-18  2.58024e-19      1      0
